Name,Adenine_content,Cytosine_content,GC_content,Guanine_content,Keto_GT_content,Purine_AG_content,Thymine_content,label
0,17.28395061728395,25.925925925925927,61.72839506172839,35.80246913580247,56.79012345679013,53.08641975308642,20.987654320987655,0
1,18.51851851851852,24.691358024691358,55.55555555555556,30.864197530864196,56.79012345679013,49.382716049382715,25.925925925925927,0
2,19.753086419753085,28.395061728395063,53.08641975308642,24.691358024691358,51.851851851851855,44.44444444444444,27.160493827160494,0
3,17.28395061728395,22.22222222222222,53.08641975308642,30.864197530864196,60.49382716049383,48.148148148148145,29.62962962962963,0
4,17.28395061728395,25.925925925925927,53.08641975308642,27.160493827160494,56.79012345679013,44.44444444444444,29.62962962962963,0
5,37.03703703703704,19.753086419753085,43.20987654320987,23.45679012345679,43.20987654320987,60.49382716049383,19.753086419753085,0
6,30.864197530864196,18.51851851851852,49.382716049382715,30.864197530864196,50.617283950617285,61.72839506172839,19.753086419753085,0
7,28.395061728395063,20.987654320987655,53.08641975308642,32.098765432098766,50.617283950617285,60.49382716049383,18.51851851851852,0
8,18.51851851851852,30.864197530864196,58.02469135802469,27.160493827160494,50.617283950617285,45.67901234567901,23.45679012345679,0
9,23.45679012345679,25.925925925925927,55.55555555555556,29.62962962962963,50.617283950617285,53.08641975308642,20.987654320987655,0
10,24.691358024691358,25.925925925925927,53.08641975308642,27.160493827160494,49.382716049382715,51.851851851851855,22.22222222222222,0
11,14.814814814814815,27.160493827160494,62.96296296296296,35.80246913580247,58.02469135802469,50.617283950617285,22.22222222222222,0
12,13.580246913580247,22.22222222222222,55.55555555555556,33.333333333333336,64.19753086419753,46.91358024691358,30.864197530864196,0
13,32.098765432098766,23.45679012345679,46.91358024691358,23.45679012345679,44.44444444444444,55.55555555555556,20.987654320987655,0
14,39.50617283950617,12.345679012345679,40.74074074074074,28.395061728395063,48.148148148148145,67.90123456790124,19.753086419753085,0
15,28.395061728395063,22.22222222222222,44.44444444444444,22.22222222222222,49.382716049382715,50.617283950617285,27.160493827160494,0
16,23.45679012345679,24.691358024691358,50.617283950617285,25.925925925925927,51.851851851851855,49.382716049382715,25.925925925925927,0
17,18.51851851851852,28.395061728395063,48.148148148148145,19.753086419753085,53.08641975308642,38.27160493827161,33.333333333333336,0
